id,mf,yo,we,jd
416,2.93258427,3.574712644,2.912751678,1.201183432
417,2.91902834,3.572864322,2.909774436,1.199134199
418,2.918918919,3.535031847,2.897163121,1.198757764
419,2.915331808,3.528089888,2.896995708,1.197674419
420,2.912181303,3.526315789,2.883792049,1.196261682
421,2.907488987,3.507352941,2.864111498,1.195652174
422,2.900552486,3.488958991,2.85,1.19379845
423,2.896946565,3.476190476,2.848571429,1.189655172
424,2.883597884,3.473684211,2.843971631,1.189189189
425,2.880886427,3.466666667,2.833333333,1.189189189
426,2.866156788,3.464788732,2.832116788,1.186666667
427,2.864864865,3.444839858,2.829710145,1.182692308
428,2.86,3.435483871,2.807272727,1.181818182
429,2.859943978,3.418918919,2.797153025,1.180952381
430,2.852830189,3.402298851,2.792387543,1.178571429
431,2.84341637,3.3984375,2.789473684,1.177631579
432,2.842424242,3.340425532,2.78525641,1.171171171
433,2.838983051,3.321428571,2.783333333,1.168067227
434,2.827505828,3.307228916,2.782022472,1.166666667
435,2.825949367,3.260204082,2.778947368,1.165048544
436,2.8170347,3.257425743,2.775280899,1.164383562
437,2.805232558,3.252336449,2.774193548,1.163793103
438,2.8033241,3.25,2.771331058,1.163265306
439,2.799256506,3.241830065,2.76993865,1.163090129
440,2.796610169,3.227272727,2.768025078,1.159574468
441,2.789115646,3.220588235,2.766871166,1.158415842
442,2.786184211,3.210526316,2.756830601,1.157894737
443,2.784394251,3.19047619,2.748427673,1.156626506
444,2.781690141,3.128205128,2.74471831,1.154929577
445,2.774703557,3.124423963,2.743902439,1.153846154
446,2.774327122,3.124183007,2.726937269,1.153846154
447,2.769230769,3.112676056,2.719764012,1.152815013
448,2.767123288,3.109090909,2.719646799,1.152380952
449,2.763274336,3.105504587,2.714583333,1.151260504
450,2.761450382,3.104895105,2.705298013,1.151162791
451,2.754756871,3.097560976,2.702194357,1.151079137
452,2.752840909,3.092592593,2.693379791,1.150442478
453,2.745,3.07804878,2.69330855,1.149253731
454,2.724919094,3.076923077,2.689419795,1.144927536
455,2.708695652,3.07253886,2.68627451,1.144032922
456,2.708571429,3.071428571,2.681967213,1.142857143
457,2.695924765,3.049079755,2.679054054,1.142857143
458,2.693602694,3.037037037,2.675949367,1.136363636
459,2.681564246,3.016806723,2.671469741,1.134328358
460,2.681388013,3.006849315,2.670241287,1.130769231
461,2.66552901,3,2.669491525,1.127906977
462,2.665,2.988593156,2.660929432,1.125
463,2.663120567,2.985915493,2.660377358,1.123595506
464,2.661117717,2.981132075,2.658703072,1.12244898
465,2.656370656,2.975490196,2.648725212,1.121428571
466,2.654867257,2.972972973,2.645435244,1.113924051
467,2.65,2.964788732,2.631578947,1.105263158
468,2.628378378,2.933774834,2.627731092,1.104477612
469,2.625454545,2.919811321,2.626506024,1.103174603
470,2.625,2.919642857,2.624434389,1.103092784
471,2.624338624,2.893719807,2.624137931,1.101010101
472,2.620437956,2.89017341,2.620618557,1.095744681
473,2.59375,2.878787879,2.62,1.095652174
474,2.574074074,2.860606061,2.618343195,1.087378641
475,2.563758389,2.857142857,2.609876543,1.084745763
476,2.561111111,2.855967078,2.598039216,1.08411215
477,2.56,2.854166667,2.572953737,1.082089552
478,2.553113553,2.847457627,2.571788413,1.08
479,2.546448087,2.834951456,2.554006969,1.077464789
480,2.546428571,2.829787234,2.54296875,1.076923077
481,2.53875969,2.828729282,2.535211268,1.076190476
482,2.535433071,2.827272727,2.533687943,1.069767442
483,2.525951557,2.819672131,2.525073746,1.068965517
484,2.525612472,2.815789474,2.518099548,1.067340067
485,2.523178808,2.790816327,2.515942029,1.067307692
486,2.511970534,2.788135593,2.513184584,1.066115702
487,2.504237288,2.780141844,2.513157895,1.063829787
488,2.482857143,2.777173913,2.511945392,1.06185567
489,2.479166667,2.759162304,2.510086455,1.059701493
490,2.474264706,2.740740741,2.490566038,1.056338028
491,2.470472441,2.701492537,2.488054608,1.054347826
492,2.467213115,2.693277311,2.487666034,1.053435115
493,2.461377871,2.658823529,2.485540335,1.053191489
494,2.452873563,2.636904762,2.484790875,1.051546392
495,2.441176471,2.635714286,2.484234234,1.049019608
496,2.439667129,2.572916667,2.4750499,1.040697674
497,2.438305709,2.569892473,2.474193548,1.038961039
498,2.435251799,2.542682927,2.472560976,1.02970297
499,2.433333333,2.527896996,2.471321696,1.028368794
500,2.421364985,2.520231214,2.466887417,1.026548673
501,2.413394919,2.479166667,2.411764706,1.025974026
502,2.411585366,2.47715736,2.406779661,1.024691358
503,2.411255411,2.472906404,2.401691332,1.021276596
504,2.409090909,2.444444444,2.390651085,1.019230769
505,2.396464646,2.440251572,2.378378378,1.017045455
506,2.393617021,2.425925926,2.375,1.015789474
507,2.390243902,2.385245902,2.373205742,1.012195122
508,2.385542169,2.371212121,2.365384615,1.011904762
509,2.383606557,2.367647059,2.36440678,1.010638298
510,2.376205788,2.351351351,2.328530259,1.01
511,2.370572207,2.345238095,2.31504065,1.00990099
512,2.370460048,2.34375,2.312080537,1.009615385
513,2.369863014,2.333333333,2.302564103,1.009615385
514,2.365422397,2.325714286,2.292649098,1.007692308
515,2.359259259,2.29245283,2.286472149,1.007194245
